company_name,input_entity_type,canonical_company_name,na_entity_name,step1_active,step2_north_america,step3_relevant,step4_ats_sql_fit,gpt_decision,categories,confidence,rationale,prompt_version,model,checked_at
Carnegie Mellon University,not_a_company,Carnegie Mellon University,,no,no,no,no,no,,0.98,"Resolved as Carnegie Mellon University, which is an academic institution rather than a company for the ATS employer table.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Carr Amplifiers,company,Carr Amplifiers,,yes,yes,no,no,no,,0.94,"Resolved to Carr Amplifiers, a boutique guitar amplifier maker, not a target semiconductor or embedded-systems employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Carrier Global Corporation,company,Carrier Global Corporation,,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design,0.8,"Resolved to Carrier Global Corporation, a large HVAC/building-controls company with embedded electronics, but it is not a strong direct VLSI/ASIC/semiconductor ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Carthew Bay Technologies Inc.,company,Carthew Bay Technologies Inc.,,yes,yes,yes,no,no,embedded systems;hardware validation or electronics test,0.51,"Resolved to Carthew Bay Technologies Inc., which appears to be a small Canadian technology company with some hardware relevance but weak ATS fit.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Cary Audio Design,company,"Cary Audio Design, Inc.",,yes,yes,yes,no,no,analog or digital design,0.69,"Resolved to Cary Audio Design, Inc., an audio electronics manufacturer with limited hardware relevance and weak ATS-scale fit for VLSI hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Casa Systems,company,"Casa Systems, Inc.",,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware;RF or mmWave or wireless baseband chipset,0.88,"Resolved to Casa Systems, Inc., a substantial broadband/networking equipment company with direct hardware and embedded-system relevance and a realistic ATS footprint.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Casio,company,"Casio Computer Co., Ltd.","Casio America, Inc.",yes,yes,yes,no,no,embedded systems;analog or digital design,0.72,"Resolved to Casio Computer Co., Ltd. with NA hiring via Casio America, Inc.; while it makes electronics, it is not a strong direct VLSI/semiconductor ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Caterpillar,company,Caterpillar Inc.,,yes,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;hardware validation or electronics test;analog or digital design,0.84,"Resolved to Caterpillar Inc., a large North American heavy-equipment OEM with substantial embedded electronics and vehicle-control hiring and a strong ATS footprint.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
CATK North America LLC,company,CATK North America LLC,,yes,yes,yes,no,no,RF or mmWave or wireless baseband chipset;hardware validation or electronics test;analog or digital design,0.55,"Resolved to CATK North America LLC, which appears tied to electronic components/test hardware in NA, but the entity does not appear large or direct enough for ATS seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Cattron,company,"Cattron, Inc.",,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design,0.78,"Resolved to Cattron, Inc., an industrial wireless remote-control hardware company with embedded relevance but not a strong VLSI/semiconductor ATS-scale employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:42+00:00
Celera Motion,company,Celera Motion,,yes,yes,yes,yes,yes,embedded systems;hardware validation or electronics test;analog or digital design,0.74,"Celera Motion is an active US motion-control/industrial electronics company with North America hiring and some embedded/hardware engineering relevance, making it a plausible ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Celerity Computing,company,"Celerity Computing, Inc.",,yes,yes,yes,no,no,AI accelerator or ML hardware;CPU or GPU architecture or HPC,0.41,"Celerity Computing appears to be a small US computing hardware startup/research spinoff, relevant to accelerator/HPC hardware but likely too small/weak for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Celestica Inc.,company,Celestica Inc.,,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;hardware validation or electronics test;EV or automotive electronics,0.89,Celestica Inc. is an active large Canadian electronics manufacturing and hardware engineering company with substantial North America presence and relevant hardware roles.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Celsia Technologies,company,Celsia Technologies,,yes,no,yes,no,no,hardware validation or electronics test;analog or digital design,0.28,Celsia Technologies appears relevant to thermal/electronics hardware but I lack concrete evidence of meaningful North America hiring presence or ATS-scale employer footprint.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
CENIT North America Inc.,company,CENIT AG,CENIT North America Inc.,yes,yes,yes,no,no,EDA,0.68,"CENIT North America resolves to CENIT AG, an active German engineering software/PLM company with a US subsidiary, but it is more consulting/software-adjacent than a strong VLSI ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Cenntro Inc.,company,Cenntro Inc.,,yes,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware,0.77,Cenntro Inc. is an active North America-listed electric commercial vehicle company with relevant automotive electronics and embedded/firmware hiring potential.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
centrotherm USA,company,centrotherm international AG,"centrotherm USA, Inc.",yes,yes,yes,no,no,semiconductor foundry or manufacturing process,0.83,"centrotherm USA resolves to centrotherm international AG, an active semiconductor process equipment company with US presence, but it is not a strong direct ATS seed for VLSI design hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Centurion Wireless Technologies,company,Centurion Wireless Technologies,,yes,no,yes,no,no,RF or mmWave or wireless baseband chipset;embedded systems,0.21,"Centurion Wireless Technologies sounds wireless-hardware relevant, but I cannot verify a concrete North America operating footprint or substantial ATS-scale hiring entity.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Century Controls,company,"Century Controls, Inc.",,yes,yes,yes,no,no,embedded systems;hardware validation or electronics test;analog or digital design,0.56,"Century Controls appears to be an active US industrial controls/electronics firm with some embedded hardware relevance, but likely too small or peripheral for ATS SQL targeting.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Century Electronics Manufacturing,company,"Century Electronics Manufacturing, Inc.",,yes,yes,yes,no,no,hardware validation or electronics test;embedded systems;analog or digital design,0.58,"Century Electronics Manufacturing appears to be an active US EMS/electronics manufacturer with some hardware engineering relevance, but not a strong direct VLSI ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Cepheid,company,Cepheid,,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test,0.7,"Cepheid is an active US molecular diagnostics hardware company with embedded/firmware work, but medical instruments are only adjacent and not a strong VLSI ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Cepton,company,"Cepton, Inc.",,yes,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware;hardware validation or electronics test,0.83,"Cepton, Inc. is an active US lidar company with automotive electronics and embedded hardware roles, large enough to be a useful ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Ceragon Networks Inc.,company,Ceragon Networks Ltd.,Ceragon Networks Inc.,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware;RF or mmWave or wireless baseband chipset;embedded systems;firmware;hardware validation or electronics test,0.85,"Ceragon Networks Inc. resolves to Ceragon Networks Ltd., an active wireless backhaul networking hardware company with US presence and solid hardware hiring relevance.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Cerebras Systems Inc.,company,Cerebras Systems Inc.,,yes,yes,yes,yes,yes,AI accelerator or ML hardware;ASIC;SoC;semiconductor design;RTL;design verification;physical design or place and route;post-silicon validation or silicon bring-up;CPU or GPU architecture or HPC,0.97,Cerebras Systems Inc. is an active US AI chip company directly aligned with advanced ASIC/SoC/RTL/DV/physical-design hiring and is an excellent ATS seed.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Cerence Inc.,company,Cerence Inc.,,yes,yes,no,no,no,,0.88,"Cerence Inc. is active in automotive voice/software rather than direct semiconductor or hardware design, so it is not relevant for this VLSI-focused ATS list.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Ceres Robotics Inc.,company,Ceres Robotics Inc.,,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test,0.52,"Ceres Robotics appears to be an active North America robotics company with embedded hardware relevance, but likely too small/niche for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Ceribell,company,"Ceribell, Inc.",,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.72,"Ceribell, Inc. is an active US medical device electronics company with embedded hardware work, but it is more adjacent than a core VLSI/semiconductor ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Cerprobe Corporation,company,Cerprobe Corporation,,yes,yes,yes,no,no,hardware validation or electronics test;semiconductor foundry or manufacturing process,0.79,"Cerprobe Corporation is an active US semiconductor probe card/test interface company relevant to test hardware, but likely too small/specialized for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
CEVA,company,"CEVA, Inc.",CEVA Inc.,yes,yes,yes,yes,yes,semiconductor IP;ASIC;SoC;design verification;embedded systems;RF or mmWave or wireless baseband chipset;AI accelerator or ML hardware,0.95,"CEVA resolves to CEVA, Inc., an active semiconductor IP company with US presence and strong direct relevance to SoC/IP/wireless/edge-AI hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Champion Bus,company,"Champion Bus, Inc.",,yes,yes,no,no,no,,0.83,"Champion Bus, Inc. is an active bus manufacturer, but it is not a meaningful semiconductor, electronics design, or embedded hardware ATS target for this database.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:17:58+00:00
Changan,company,"Changan Automobile Co., Ltd.",,yes,no,yes,no,no,EV or automotive electronics,0.86,"Resolved to Changan Automobile Co., Ltd.; active Chinese automaker with automotive-electronics relevance, but no clearly established North America hiring presence for this database.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Channel Master LLC,company,"Channel Master, LLC",,yes,yes,yes,no,no,computer/server/datacenter/networking hardware;embedded systems,0.69,"Resolved to Channel Master, LLC; active US consumer/broadcast hardware company with NA presence, but not a strong VLSI/ATS seed employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Channell Commercial Corporation,company,Channell Commercial Corporation,,yes,yes,no,no,no,,0.89,"Resolved to Channell Commercial Corporation; active US telecom enclosure/infrastructure company, but not meaningfully in semiconductor or target EE design categories.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
CharaChorder,company,"CharaChorder, Inc.",,yes,yes,yes,no,no,embedded systems;computer/server/datacenter/networking hardware;firmware,0.66,"Resolved to CharaChorder, Inc.; active US input-hardware maker with some embedded/firmware relevance, but too small/niche for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
ChargePoint Holdings,company,"ChargePoint Holdings, Inc.",,yes,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.87,"Resolved to ChargePoint Holdings, Inc.; active North American EV charging hardware company with substantial electronics/firmware hiring footprint.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Checkmate Electronics,unclear,Checkmate Electronics,,no,no,no,no,no,,0.3,"Could not confidently resolve 'Checkmate Electronics' to a specific current company, so it is not usable for the job-board.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Checkpoint Systems,company,"Checkpoint Systems, Inc.",,yes,yes,yes,no,no,RF or mmWave or wireless baseband chipset;embedded systems;hardware validation or electronics test,0.75,"Resolved to Checkpoint Systems, Inc.; active US retail/RFID hardware company with some EE relevance, but not a strong direct VLSI/semiconductor ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Chef Robotics,company,"Chef Robotics, Inc.",,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.72,"Resolved to Chef Robotics, Inc.; active US robotics hardware startup with embedded-electronics relevance, but likely too small for ATS SQL seeding.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Chelsio Communications,company,"Chelsio Communications, Inc.",,yes,yes,yes,yes,yes,ASIC;SoC;semiconductor design;computer/server/datacenter/networking hardware;embedded systems;firmware;SerDes or high-speed I/O,0.95,"Resolved to Chelsio Communications, Inc.; active US networking silicon and adapter vendor with strong direct relevance and real ATS usefulness.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Cherry Americas LLC,company,Cherry Americas LLC,Cherry Americas LLC,yes,yes,yes,no,no,embedded systems;computer/server/datacenter/networking hardware;firmware,0.8,"Resolved to Cherry Americas LLC, the North American hiring entity of Cherry SE; active input-device hardware business, but not a strong VLSI/semiconductor ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Chicony Power Technology USA Inc.,company,"Chicony Power Technology Co., Ltd.",Chicony Power Technology USA Inc.,yes,yes,yes,no,no,power management IC or PMIC;analog or digital design;embedded systems,0.74,"Resolved to Chicony Power Technology Co., Ltd. with NA entity Chicony Power Technology USA Inc.; active power-electronics company with some relevance, but not a clear ATS-scale VLSI target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Chieftek Precision USA,company,"Chieftek Precision Co., Ltd.",Chieftek Precision USA,yes,yes,no,no,no,,0.72,"Resolved to Chieftek Precision Co., Ltd. with NA entity Chieftek Precision USA; active mechanical/precision components firm, but not meaningfully in target EE/VLSI categories.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
China Automotive Systems,company,"China Automotive Systems, Inc.",,yes,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.84,"Resolved to China Automotive Systems, Inc.; active automotive electronics supplier with North America presence and a reasonable ATS footprint.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Chip PC Technologies Ltd.,company,Chip PC Technologies Ltd.,,yes,no,yes,no,no,embedded systems;computer/server/datacenter/networking hardware;firmware,0.62,"Resolved to Chip PC Technologies Ltd.; active thin-client hardware company, but I lack concrete evidence of meaningful North America hiring presence.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
ChipMOS U.S.A.,company,ChipMOS TECHNOLOGIES INC.,"ChipMOS U.S.A., Inc.",yes,yes,yes,yes,yes,semiconductor foundry or manufacturing process;hardware validation or electronics test;post-silicon validation or silicon bring-up;memory design (DRAM/SRAM/NAND/flash controller),0.91,"Resolved to ChipMOS TECHNOLOGIES INC. with NA entity ChipMOS U.S.A., Inc.; active semiconductor packaging/test company with clear relevance and ATS usefulness.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Chorum Technologies,company,"Chorum Technologies, Inc.",,yes,yes,yes,no,no,RF or mmWave or wireless baseband chipset;analog or digital design;embedded systems,0.57,"Resolved to Chorum Technologies, Inc.; appears to be an active US RF/wireless electronics company, but likely too small or unclear for ATS SQL inclusion.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Christie Digital Systems USA,company,"Christie Digital Systems USA, Inc.",,yes,yes,yes,no,no,embedded systems;firmware;analog or digital design;hardware validation or electronics test,0.73,"Resolved to Christie Digital Systems USA, Inc.; active display/projection hardware company with some embedded-electronics relevance, but weak as a VLSI ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Chromatics Inc.,company,Chromatics Inc.,,yes,no,no,no,no,,0.24,"Resolved tentatively to Chromatics Inc., but the company identity and current NA-relevant hardware business are too unclear for inclusion.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Ciena Corporation,company,Ciena Corporation,,yes,yes,yes,yes,yes,computer/server/datacenter/networking hardware;ASIC;SoC;semiconductor design;embedded systems;firmware;SerDes or high-speed I/O;RF or mmWave or wireless baseband chipset,0.96,Resolved to Ciena Corporation; major North American networking hardware company with strong silicon/optical transport hardware engineering and ATS presence.,v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Cincoze Co.,company,"Cincoze Co., Ltd.",Cincoze USA,yes,yes,yes,no,no,embedded systems;computer/server/datacenter/networking hardware;firmware,0.81,"Resolved to Cincoze Co., Ltd. with NA entity Cincoze USA; active industrial embedded-computing vendor with NA presence, but not a strong large-scale ATS seed for VLSI hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:14+00:00
Cipher Data Products,company,"Cipher Data Products, Inc.",,no,no,yes,no,no,computer/server/datacenter/networking hardware,0.54,"Resolved to Cipher Data Products, Inc., an old data-storage hardware company that appears no longer operating, so not an active ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Circuit Research Labs,company,"Circuit Research Labs, Inc.",,yes,yes,yes,no,no,analog or digital design;hardware validation or electronics test,0.63,"Resolved to Circuit Research Labs, Inc., a US electronics/audio equipment maker with some hardware relevance but weak fit as a large VLSI ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Cirque Corporation,company,Cirque Corporation,,yes,yes,yes,no,no,embedded systems;computer/server/datacenter/networking hardware;analog or digital design,0.78,"Resolved to Cirque Corporation, a US touch-input hardware company relevant to embedded electronics but not a strong medium/large ATS seed for VLSI hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Cirrus Logic,company,"Cirrus Logic, Inc.",,yes,yes,yes,yes,yes,ASIC;SoC;semiconductor design;analog or digital design;firmware;embedded systems;power management IC or PMIC,0.98,"Resolved to Cirrus Logic, Inc., an active US fabless semiconductor company and strong ATS target for mixed-signal/IC/firmware roles.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Cisco,company,"Cisco Systems, Inc.",,yes,yes,yes,yes,yes,ASIC;SoC;semiconductor design;RTL;design verification;firmware;embedded systems;computer/server/datacenter/networking hardware;AI accelerator or ML hardware;CPU or GPU architecture or HPC;physical design or place and route;post-silicon validation or silicon bring-up;SerDes or high-speed I/O,0.97,"Resolved to Cisco Systems, Inc., a major US networking hardware employer with substantial ASIC/SoC, firmware, and validation hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Citel,company,CITEL,,yes,yes,yes,no,no,analog or digital design;hardware validation or electronics test,0.69,"Resolved to CITEL, a surge-protection electronics company with North America presence, but it is not a strong VLSI/semiconductor ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Clarios International Inc.,company,Clarios International Inc.,,yes,yes,yes,yes,yes,EV or automotive electronics;embedded systems;hardware validation or electronics test;analog or digital design,0.88,"Resolved to Clarios International Inc., a large battery and vehicle-electronics supplier with substantial North America hiring and relevant embedded/automotive roles.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Clark Material Handling Company,company,Clark Material Handling Company,,yes,yes,yes,no,no,embedded systems;EV or automotive electronics;analog or digital design,0.67,"Resolved to Clark Material Handling Company, an active forklift manufacturer with some controls/electronics relevance but not a strong direct VLSI ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Clear-Com,company,Clear-Com LLC,,yes,yes,yes,no,no,embedded systems;analog or digital design;computer/server/datacenter/networking hardware,0.77,"Resolved to Clear-Com LLC, a professional communications hardware company with embedded electronics relevance but limited fit for a VLSI-focused ATS list.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
ClearCube Technology,company,"ClearCube Technology, Inc.",,yes,yes,yes,no,no,computer/server/datacenter/networking hardware;embedded systems;firmware,0.74,"Resolved to ClearCube Technology, Inc., a US endpoint/datacenter hardware company relevant to hardware jobs but not a strong semiconductor ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Clearfield,company,"Clearfield, Inc.",,yes,yes,no,no,no,,0.85,"Resolved to Clearfield, Inc., a fiber connectivity equipment company whose business is mainly telecom infrastructure rather than target semiconductor/embedded categories.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
ClearOne,company,"ClearOne, Inc.",,yes,yes,yes,no,no,embedded systems;analog or digital design;computer/server/datacenter/networking hardware,0.72,"Resolved to ClearOne, Inc., an audio/video conferencing hardware company with embedded electronics relevance but weak fit as a VLSI ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
ClearPoint Neuro,company,"ClearPoint Neuro, Inc.",,yes,yes,yes,no,no,embedded systems;hardware validation or electronics test;analog or digital design,0.72,"Resolved to ClearPoint Neuro, Inc., a medical-device company with embedded electronics work but not a strong direct ATS target for semiconductor/VLSI hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Cleveland Automation Systems,company,"Cleveland Automation Systems, Inc.",,yes,yes,yes,no,no,embedded systems;hardware validation or electronics test;analog or digital design,0.66,"Resolved to Cleveland Automation Systems, Inc., an industrial automation firm with electronics relevance but limited evidence of medium/large VLSI-oriented ATS hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Cleveland CycleWerks,company,Cleveland CycleWerks LLC,,yes,yes,yes,no,no,EV or automotive electronics;embedded systems,0.56,"Resolved to Cleveland CycleWerks LLC, a small motorcycle company with only marginal electronics relevance and weak ATS usefulness.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Clinicom,company,"Clinicom, Inc.",,no,no,no,no,no,,0.57,"Resolved to Clinicom, Inc., which appears to be an old healthcare/IT entity with no clear active hardware hiring relevance.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
CLOOS Robotic Welding,company,"CLOOS Robotic Welding, Inc.",,yes,yes,yes,no,no,embedded systems;analog or digital design;hardware validation or electronics test,0.75,"Resolved to CLOOS Robotic Welding, Inc., the North American robotics/welding arm with controls hardware relevance but not a strong semiconductor ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
CloudMinds Technology Inc.,company,CloudMinds Technology Inc.,,yes,yes,yes,no,no,embedded systems;AI accelerator or ML hardware;computer/server/datacenter/networking hardware,0.58,"Resolved to CloudMinds Technology Inc., a robotics/AI company with some hardware relevance but uncertain scale and ATS value for core VLSI recruiting.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Clover Network,company,"Clover Network, LLC",,yes,yes,yes,no,no,embedded systems;firmware;computer/server/datacenter/networking hardware,0.76,"Resolved to Clover Network, LLC, a payment-terminal hardware company with embedded relevance but not a direct semiconductor/VLSI ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
Club Car,company,"Club Car, LLC",,yes,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware;hardware validation or electronics test,0.8,"Resolved to Club Car, LLC, a substantial vehicle manufacturer with EV/controls/embedded hiring and enough scale to be a useful ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:28+00:00
CMC Electronics Inc.,company,CMC Electronics Inc.,,yes,yes,yes,no,no,embedded systems;computer/server/datacenter/networking hardware;hardware validation or electronics test,0.74,"Resolved to CMC Electronics Inc., an active Canadian avionics/electronics company with NA presence, but its focus is aerospace avionics rather than a strong ATS seed for the target VLSI/semiconductor job set.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
CMR Surgical Limited,company,CMR Surgical Limited,CMR Surgical Inc.,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test,0.69,"Resolved to CMR Surgical Limited, an active surgical robotics company with a US subsidiary, relevant via embedded/firmware hardware but not a strong VLSI/ASIC ATS target.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
CNH Industrial America LLC,company,CNH Industrial America LLC,,yes,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;hardware validation or electronics test,0.83,"Resolved to CNH Industrial America LLC, an active large North American off-highway vehicle manufacturer with electronics/embedded roles and substantial ATS-scale hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
CNH Industrial N.V.,company,CNH Industrial N.V.,CNH Industrial America LLC,yes,yes,yes,yes,yes,embedded systems;firmware;EV or automotive electronics;hardware validation or electronics test,0.84,"Resolved to CNH Industrial N.V., an active global vehicle/equipment company with major US hiring through CNH Industrial America LLC and meaningful embedded/vehicle electronics relevance.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Cobra Electronics Corporation,company,Cobra Electronics Corporation,,yes,yes,yes,no,no,embedded systems;RF or mmWave or wireless baseband chipset;computer/server/datacenter/networking hardware,0.62,"Resolved to Cobra Electronics Corporation, an active US consumer radio/electronics brand relevant to embedded/RF hardware, but not a strong medium-large ATS seed for VLSI hiring.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Codan US Inc.,company,Codan US Inc.,,yes,yes,yes,no,no,embedded systems;firmware;RF or mmWave or wireless baseband chipset;hardware validation or electronics test,0.76,"Resolved to Codan US Inc., the North American arm of Codan active in communications electronics, relevant to RF/embedded hardware but not an ideal ATS-scale VLSI seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
CODESYS Corporation,company,CODESYS Corporation,,yes,yes,no,no,no,,0.87,"Resolved to CODESYS Corporation, an active North American industrial automation software entity, but it is primarily software/tooling rather than target semiconductor or hardware design.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Cogent Communications Holdings,company,"Cogent Communications Holdings, Inc.",,yes,yes,no,no,no,,0.95,"Resolved to Cogent Communications Holdings, Inc., an active telecom/network service provider with NA presence, but it is not a target hardware or semiconductor employer.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Cognex Corporation,company,Cognex Corporation,,yes,yes,yes,yes,yes,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.86,"Resolved to Cognex Corporation, an active US machine-vision hardware company with substantial engineering hiring and clear embedded/electronics relevance.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Coherent Communications Systems Corporation,company,Coherent Communications Systems Corporation,,yes,yes,no,no,no,,0.72,"Resolved to Coherent Communications Systems Corporation, an active US communications systems company, but it appears more systems/integration oriented than a clear target VLSI or hardware-design ATS seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Coherix,company,"Coherix, Inc.",,yes,yes,yes,no,no,embedded systems;hardware validation or electronics test;analog or digital design,0.72,"Resolved to Coherix, Inc., an active US industrial inspection/vision hardware company relevant to electronics and test, but likely too small/niche for the ATS target table.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Cohu,company,"Cohu, Inc.",,yes,yes,yes,yes,yes,semiconductor design;hardware validation or electronics test;post-silicon validation or silicon bring-up;design for test (DFT),0.96,"Resolved to Cohu, Inc., an active US semiconductor test and inspection company with strong direct relevance and clear ATS-scale hiring footprint.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Collaborative Robotics,company,"Collaborative Robotics, Inc.",,yes,yes,yes,no,no,embedded systems;firmware;hardware validation or electronics test;analog or digital design,0.69,"Resolved to Collaborative Robotics, Inc., an active US robotics hardware startup relevant to embedded systems, but likely too small/startup-stage for a robust ATS SQL seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
Colorado Electronic Product Design,company,Colorado Electronic Product Design,,yes,yes,yes,no,no,analog or digital design;embedded systems;firmware,0.79,"Resolved to Colorado Electronic Product Design, an active US electronics design consultancy relevant to embedded hardware, but consulting/small-firm profile makes it a poor ATS table seed.",v4-ats-sql-target,gpt-5.4,2026-07-03T04:18:43+00:00
