company_name,input_entity_type,canonical_company_name,na_entity_name,step1_active,step2_north_america,step3_relevant,gpt_decision,categories,confidence,rationale,prompt_version,model,checked_at
Corwin Manufacturing,company,Corwin Manufacturing Company,,yes,yes,no,no,,0.72,"Resolved to Corwin Manufacturing Company, an active North American manufacturer but not evidently focused on semiconductor, electronics design, or related target hardware categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
COSEDA Technologies,company,COSEDA Technologies GmbH,,yes,no,yes,no,EDA;analog or digital design;design verification,0.9,"Resolved to COSEDA Technologies GmbH, an active EDA/IC modeling company, but I lack specific evidence of a US or Canada hiring entity or office.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
COSEI Technology,unclear,COSEI Technology,,no,no,no,no,,0.28,Could not confidently resolve 'COSEI Technology' to a specific active company with known North America presence or target-category relevance.,v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Cosine Communications,merged_or_renamed,Nokia Corporation,Nokia of America Corporation,yes,yes,yes,yes,computer/server/datacenter/networking hardware;RF or mmWave or wireless baseband chipset;embedded systems;firmware,0.67,"Resolved 'Cosine Communications' to the former networking company whose business was absorbed into Nokia, an active company with North American operations and networking/wireless hardware relevance.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Cosmic Circuits,merged_or_renamed,"Cadence Design Systems, Inc.",,yes,yes,yes,yes,EDA;semiconductor IP;analog or digital design;design verification,0.95,"Resolved Cosmic Circuits to Cadence Design Systems, Inc. via acquisition; Cadence is active in North America and directly relevant to EDA and semiconductor IP.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Cosmic Technologies,unclear,Cosmic Technologies,,no,no,no,no,,0.21,Could not confidently resolve 'Cosmic Technologies' to a specific active company with known North America presence and EE/VLSI relevance.,v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
COSMOS International,company,COSMOS International Corp.,,yes,yes,no,no,,0.39,"Resolved to COSMOS International Corp., which appears active in North America, but not evidently in semiconductor, electronics design, or target hardware engineering domains.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Cosmotec,company,"Cosmotec Co., Ltd.",,yes,no,no,no,,0.46,"Resolved to Cosmotec Co., Ltd., but I lack concrete evidence of a North America hiring presence and it is not clearly in the target EE/VLSI hardware categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Costa Del Mar,company,"Costa Del Mar, Inc.",,yes,yes,no,no,,0.97,"Resolved to Costa Del Mar, Inc., an active North American eyewear brand with no meaningful relevance to the target electronics or semiconductor categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
CoStar Group,company,"CoStar Group, Inc.",,yes,yes,no,no,,0.98,"Resolved to CoStar Group, Inc., an active North American real-estate information company, not a target EE/hardware employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Costco,company,Costco Wholesale Corporation,,yes,yes,no,no,,0.99,"Resolved to Costco Wholesale Corporation, an active retailer with no meaningful relevance to semiconductor or electronics design hiring.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Cotton Donald B,not_a_company,Cotton Donald B,,no,no,no,no,,0.99,"'Cotton Donald B' appears to be a person's name, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Coulomb blockade,not_a_company,Coulomb blockade,,no,no,no,no,,0.99,"'Coulomb blockade' is a physics concept, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Counterpane Internet Security,merged_or_renamed,BT Group plc,BT Americas Inc.,yes,yes,no,no,,0.86,"Resolved Counterpane Internet Security to BT Group plc via acquisition, but the surviving company is primarily telecom/security services rather than target semiconductor or hardware engineering.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Courier Car,not_a_company,Courier Car,,no,no,no,no,,0.97,"'Courier Car' appears to be a generic phrase or service description, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Courtney Eugene W,not_a_company,Courtney Eugene W,,no,no,no,no,,0.99,"'Courtney Eugene W' appears to be a person's name, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T17:08:50+00:00
Cousins Properties,company,Cousins Properties Incorporated,,yes,yes,no,no,,0.99,"Resolved to Cousins Properties Incorporated, an active US real estate company with North America presence but not relevant to EE/VLSI hardware categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covad,merged_or_renamed,MegaPath Corporation,,no,yes,no,no,,0.56,"Resolved Covad to MegaPath Corporation via acquisition history, but the telecom ISP business is not a current relevant EE/VLSI employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
COVAL Vacuum Technology,company,COVAL Vacuum Technology,COVAL Vacuum Technology Inc.,yes,yes,no,no,,0.84,"Resolved to COVAL Vacuum Technology, an active vacuum automation company with a US subsidiary, but not a target semiconductor/electronics design employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covariant,company,Covariant,,yes,yes,no,no,,0.88,"Resolved to Covariant, an active US robotics AI software company, but its core business is not semiconductor or hardware design.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covenant Group OF China,unclear,Covenant Group OF China,,no,no,no,no,,0.2,'Covenant Group OF China' could not be confidently resolved to a specific current company with known North America hiring relevance.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covert,not_a_company,Covert,,no,no,no,no,,0.93,'Covert' appears to be a generic word rather than a resolvable company entity.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covid,not_a_company,Covid,,no,no,no,no,,0.99,"'Covid' is a disease term, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covidien,merged_or_renamed,Medtronic plc,"Medtronic, Inc.",yes,yes,yes,yes,embedded systems;analog or digital design;firmware;hardware validation or electronics test,0.86,"Resolved Covidien to Medtronic plc, an active medical-device company with major US hiring and relevant embedded/electronics engineering work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covidien International Finance S.A.,merged_or_renamed,Medtronic plc,"Medtronic, Inc.",yes,yes,yes,yes,embedded systems;analog or digital design;firmware;hardware validation or electronics test,0.83,"Resolved Covidien International Finance S.A. upward to Medtronic plc, whose active North America medical-device engineering includes embedded/electronics roles.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covini Engineering,company,Covini Engineering,,yes,no,yes,no,EV or automotive electronics,0.42,"Resolved to Covini Engineering, an automotive engineering firm plausibly relevant to vehicle electronics, but no concrete North America hiring presence is known.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covista,company,"Covista Communications, Inc.",,no,yes,no,no,,0.31,"Resolved tentatively to Covista Communications, Inc., but current operating status is unclear and it is not a clear EE/VLSI hardware employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Covox,defunct,"Covox, Inc.",,no,no,no,no,,0.95,"Resolved to Covox, Inc., a defunct PC audio-peripheral company with no current hiring entity.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Cowon,company,"Cowon Systems, Inc.",,yes,no,yes,no,embedded systems;computer/server/datacenter/networking hardware;firmware,0.55,"Resolved to Cowon Systems, Inc., an active Korean consumer electronics maker with embedded-device relevance, but no concrete North America hiring presence is known.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Cox Technologies,unclear,Cox Technologies,,no,no,no,no,,0.18,'Cox Technologies' is too ambiguous to resolve to a specific current company with confidence.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Coyote,not_a_company,Coyote,,no,no,no,no,,0.72,'Coyote' is ambiguous and most likely a generic term or product/brand reference rather than a specific company.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Coyote Point Systems,company,"Coyote Point Systems, Inc.",,no,yes,yes,no,computer/server/datacenter/networking hardware,0.72,"Resolved to Coyote Point Systems, Inc., a former networking/load-balancer hardware company, but it is not a current standalone employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Cozen O'Connor,company,Cozen O'Connor,,yes,yes,no,no,,0.99,"Resolved to Cozen O'Connor, an active US law firm with North America presence but no EE/VLSI hardware relevance.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Cpac,unclear,Cpac,,no,no,no,no,,0.16,'Cpac' is too ambiguous to resolve confidently to a specific current company relevant for this database.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Cpc OF America,company,"CPC of America, Inc.",,yes,yes,no,no,,0.58,"Resolved to CPC of America, Inc., an active industrial components/distribution business in North America, but not clearly a target semiconductor/electronics design employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
CPI International Holding,company,CPI International Holding Corp.,,yes,yes,yes,yes,RF or mmWave or wireless baseband chipset;analog or digital design;hardware validation or electronics test,0.78,"Resolved to CPI International Holding Corp., active in RF/microwave and electronic subsystems with North America presence and relevant hardware engineering work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:07+00:00
Cpi Subsidiary Holdings,unclear,Cpi Subsidiary Holdings,,no,no,no,no,,0.22,'Cpi Subsidiary Holdings' is too ambiguous to resolve to a specific current engineering employer.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cpt,unclear,Cpt,,no,no,no,no,,0.16,'Cpt' is ambiguous and cannot be confidently resolved to a specific company.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cra Holdings,unclear,Cra Holdings,,no,no,no,no,,0.18,'Cra Holdings' is too ambiguous to map to a specific current company with confidence.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cracker Barrel,company,"Cracker Barrel Old Country Store, Inc.",,yes,yes,no,no,,0.98,"Cracker Barrel resolves to Cracker Barrel Old Country Store, Inc., an active North American restaurant/retail company not relevant to EE/VLSI hiring.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cradlepoint,company,"Cradlepoint, Inc.",,yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware,0.93,"Cradlepoint resolves to Cradlepoint, Inc., an active US networking-hardware company relevant for embedded, firmware, and networking hardware roles.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cragar Industries,unclear,Cragar Industries,,no,no,no,no,,0.2,'Cragar Industries' could not be confidently resolved to a specific current company relevant to the target market.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Craig Consumer Electronics,company,Craig Electronics Inc.,,yes,yes,yes,yes,embedded systems;analog or digital design;computer/server/datacenter/networking hardware,0.56,"Craig Consumer Electronics resolves to Craig Electronics Inc., a US consumer-electronics company with some hardware relevance, though not strongly semiconductor-focused.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Craig Electronics,company,Craig Electronics Inc.,,yes,yes,yes,yes,embedded systems;analog or digital design;computer/server/datacenter/networking hardware,0.72,"Craig Electronics resolves to Craig Electronics Inc., an active US consumer-electronics hardware company with plausible embedded/electronics relevance.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crane,company,Crane Company,,yes,yes,yes,yes,hardware validation or electronics test;EV or automotive electronics;embedded systems,0.58,"Crane resolves to Crane Company, an active US industrial manufacturer with electronics/aerospace and test-related businesses that can include relevant hardware roles.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crane & Breed,unclear,Crane & Breed,,no,no,no,no,,0.14,'Crane & Breed' could not be confidently identified as a current company.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crane Carrier,company,Crane Carrier Company,,yes,yes,yes,yes,EV or automotive electronics;embedded systems;firmware,0.74,"Crane Carrier resolves to Crane Carrier Company, an active North American vehicle manufacturer with plausible automotive-electronics and embedded roles.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crane NXT,company,"Crane NXT, Co.",,yes,yes,yes,yes,hardware validation or electronics test;embedded systems;firmware,0.61,Crane NXT is an active US-based industrial technology company with payment/vending/automation hardware that can involve embedded electronics work.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crane-Simplex,unclear,Crane-Simplex,,no,no,no,no,,0.12,'Crane-Simplex' could not be confidently resolved to a specific current company.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crating Technology,company,"Crating Technology, Inc.",,yes,yes,no,no,,0.73,"Crating Technology, Inc. appears to be an active North American packaging/logistics-related company, not an EE/VLSI-relevant employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crawford Automobile,unclear,Crawford Automobile,,no,no,no,no,,0.11,'Crawford Automobile' is too ambiguous to resolve to a specific current company.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Crawford Composites,company,"Crawford Composites, LLC",,yes,yes,no,no,,0.62,"Crawford Composites appears to be an active composites/materials company, not primarily relevant to semiconductor or electronics-hardware design hiring.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cray,merged_or_renamed,Hewlett Packard Enterprise Development LP,,yes,yes,yes,yes,computer/server/datacenter/networking hardware;CPU or GPU architecture or HPC,0.97,"Cray resolves to Hewlett Packard Enterprise via acquisition, and HPE remains an active North American employer in HPC and server hardware.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cray Computer,defunct,Cray Computer Corporation,,no,no,no,no,,0.95,"Cray Computer resolves to Cray Computer Corporation, a defunct company with no current standalone hiring entity.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Cray Research,merged_or_renamed,Hewlett Packard Enterprise Development LP,,yes,yes,yes,yes,computer/server/datacenter/networking hardware;CPU or GPU architecture or HPC,0.97,"Cray Research resolves through Cray to Hewlett Packard Enterprise, an active North American HPC and server-hardware employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Creation Technologies,company,Creation Technologies LP,,yes,yes,yes,yes,embedded systems;hardware validation or electronics test;analog or digital design,0.78,Creation Technologies is an active Canada/US electronics manufacturing and design-services company with relevant embedded and hardware engineering work.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:18+00:00
Creative Automation,company,"Creative Automation, Inc.",,yes,yes,yes,yes,embedded systems;hardware validation or electronics test;analog or digital design,0.56,"Resolved to Creative Automation, Inc., a US industrial automation company with North American presence and plausible embedded/electronics engineering relevance.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creative Micro Designs,company,"Creative Micro Designs, Inc.",,yes,yes,yes,yes,embedded systems;firmware;analog or digital design,0.58,"Resolved to Creative Micro Designs, Inc., a US electronics design firm with North American presence and plausible embedded/firmware hardware work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creative Motion Control,company,"Creative Motion Control, Inc.",,yes,yes,yes,yes,embedded systems;firmware;analog or digital design,0.62,"Resolved to Creative Motion Control, Inc., a North American motion-control hardware company relevant to embedded electronics engineering.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creative MuVo,product_line,Creative Technology Ltd.,"Creative Labs, Inc.",yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware;analog or digital design,0.96,"Creative MuVo is a product line of Creative Technology Ltd.; Creative Labs, Inc. is the North American hiring entity and the company builds consumer hardware with embedded/firmware relevance.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creative Nomad,product_line,Creative Technology Ltd.,"Creative Labs, Inc.",yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware;analog or digital design,0.96,"Creative Nomad is a product line of Creative Technology Ltd.; Creative Labs, Inc. is the North American hiring entity and the company builds consumer hardware with embedded/firmware relevance.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creative Technology,company,Creative Technology Ltd.,"Creative Labs, Inc.",yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware;analog or digital design,0.95,"Resolved to Creative Technology Ltd., which operates in North America via Creative Labs, Inc. and develops hardware products with embedded/firmware relevance.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creative Vistas,company,"Creative Vistas, Inc.",,yes,yes,no,no,,0.72,"Resolved to Creative Vistas, Inc., a North American company but not clearly engaged in target EE/VLSI/hardware product categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creative Zen,product_line,Creative Technology Ltd.,"Creative Labs, Inc.",yes,yes,yes,yes,computer/server/datacenter/networking hardware;embedded systems;firmware;analog or digital design,0.97,"Creative Zen is a product line of Creative Technology Ltd.; Creative Labs, Inc. is the North American hiring entity and the company builds embedded consumer hardware.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Credant Technologies,merged_or_renamed,OpenText Corporation,,yes,yes,no,no,,0.93,"Credant Technologies was acquired into OpenText Corporation, which is active in North America but is primarily enterprise software rather than target hardware/semiconductor work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Credence Systems,merged_or_renamed,Advantest Corporation,"Advantest America, Inc.",yes,yes,yes,yes,hardware validation or electronics test;semiconductor design;post-silicon validation or silicon bring-up,0.97,"Credence Systems was acquired by Advantest Corporation; Advantest America, Inc. has North American presence and is highly relevant in semiconductor test equipment.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Credo Semiconductor,merged_or_renamed,Credo Technology Group Holding Ltd,"Credo Semiconductor, Inc.",yes,yes,yes,yes,semiconductor design;ASIC;SoC;SerDes or high-speed I/O;computer/server/datacenter/networking hardware,0.98,"Credo Semiconductor resolves to Credo Technology Group Holding Ltd, which hires in North America via Credo Semiconductor, Inc. and designs high-speed connectivity semiconductors.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Credo Technology,company,Credo Technology Group Holding Ltd,"Credo Semiconductor, Inc.",yes,yes,yes,yes,semiconductor design;ASIC;SoC;SerDes or high-speed I/O;computer/server/datacenter/networking hardware,0.98,"Resolved to Credo Technology Group Holding Ltd, which hires in North America via Credo Semiconductor, Inc. and develops high-speed connectivity chips.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Credo Technology Group Holding,company,Credo Technology Group Holding Ltd,"Credo Semiconductor, Inc.",yes,yes,yes,yes,semiconductor design;ASIC;SoC;SerDes or high-speed I/O;computer/server/datacenter/networking hardware,0.99,"Resolved to Credo Technology Group Holding Ltd, an active semiconductor company with North American hiring via Credo Semiconductor, Inc. and strong relevance in SerDes/connectivity silicon.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creform,company,Creform Corporation,,yes,yes,no,no,,0.84,"Resolved to Creform Corporation, which has North American operations but is focused on material handling/lean manufacturing equipment rather than target chip or electronics design categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Creo,merged_or_renamed,PTC Inc.,,yes,yes,no,no,,0.9,"Creo resolves to PTC Inc. (via the former Creo CAD/software company), which is active in North America but primarily software rather than target hardware/semiconductor work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Crescendo Communications,merged_or_renamed,"Cisco Systems, Inc.",,yes,yes,yes,yes,computer/server/datacenter/networking hardware;ASIC;SoC;semiconductor design;embedded systems,0.74,"Crescendo Communications resolves to Cisco Systems, Inc. via acquisition; Cisco is active in North America and relevant through networking hardware and silicon engineering.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Crescendo Networks,company,Crescendo Networks Ltd.,,yes,no,yes,no,computer/server/datacenter/networking hardware;embedded systems,0.42,"Resolved to Crescendo Networks Ltd., plausibly a networking hardware company, but I lack concrete evidence of a North American hiring presence.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Crescent,unclear,Crescent,,no,no,no,no,,0.12,Crescent is too ambiguous to resolve to a specific current company for job-board use.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Crescent Energy,company,Crescent Energy Company,,yes,yes,no,no,,0.95,"Resolved to Crescent Energy Company, an active North American energy producer that is not in the target EE/VLSI/hardware sectors.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Crespi,unclear,Crespi,,no,no,no,no,,0.08,Crespi is too ambiguous to resolve to a specific current company relevant for a North America engineering job database.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:32+00:00
Crest Audio,company,"Crest Audio, Inc.",,yes,yes,no,no,,0.72,"Resolved to Crest Audio, a live US pro-audio equipment company; it has North America presence but is not meaningfully in semiconductor/EE design target categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crestek,company,"Crestek, Inc.",,yes,yes,yes,yes,hardware validation or electronics test;embedded systems;analog or digital design;firmware,0.63,"Resolved to Crestek, a live US electronics engineering/manufacturing firm with North America presence and plausible embedded/electronics design and test work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crestmobile,company,"Crest Mobile, Inc.",,yes,yes,no,no,,0.31,"Resolved tentatively to Crest Mobile, which appears active in North America, but it does not clearly map to the target semiconductor/hardware design categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crevis,company,"CREVIS Co., Ltd.",,yes,no,yes,no,embedded systems;analog or digital design,0.56,"Resolved to CREVIS, an industrial I/O and automation electronics company; relevant to embedded/electronics hardware, but I lack concrete US/Canada hiring presence.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crh,company,CRH plc,CRH Americas Inc.,yes,yes,no,no,,0.95,"Resolved to CRH plc via CRH Americas, an active building materials company with strong North America presence but not in the target EE/VLSI domains.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Cricket,unclear,Cricket,,no,no,no,no,,0.22,"Cricket alone is ambiguous and could refer to multiple non-company entities or brands, so I cannot reliably resolve it to a canonical employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Cricket Wireless,merged_or_renamed,AT&T Inc.,,yes,yes,no,no,,0.93,"Resolved Cricket Wireless to AT&T Inc., its current parent; active and hiring in North America, but primarily a telecom carrier rather than a target semiconductor/hardware design employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Cricut,company,"Cricut, Inc.",,yes,yes,yes,yes,embedded systems;firmware;analog or digital design,0.78,"Resolved to Cricut, an active US connected-hardware company with North America presence and plausible embedded electronics/firmware work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Critical Mineral Recovery,company,"Critical Mineral Recovery, Inc.",,yes,yes,no,no,,0.73,"Resolved to Critical Mineral Recovery, an active North America materials/recycling company, but not a target semiconductor or electronics design employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Critical Systems Analysis,company,"Critical Systems Analysis, Inc.",,yes,yes,no,no,,0.58,"Resolved to Critical Systems Analysis, an active US engineering/services firm with North America presence, but not clearly a semiconductor or hardware design company.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Criticare Systems,defunct,"Criticare Systems, Inc.",,no,no,no,no,,0.86,"Resolved to Criticare Systems, a defunct medical device company, so it is not an active employer for the target database.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Croatia,not_a_company,Croatia,,no,no,no,no,,0.99,"Croatia is a country, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crocs,company,"Crocs, Inc.",,yes,yes,no,no,,0.98,"Resolved to Crocs, an active US footwear company with North America presence but no relevance to semiconductor or electronics design categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crocus Technology,merged_or_renamed,"Allegro MicroSystems, Inc.",,yes,yes,yes,yes,semiconductor design;ASIC;analog or digital design;embedded systems;EV or automotive electronics;power management IC or PMIC,0.91,"Resolved Crocus Technology to Allegro MicroSystems, its successor owner; active in North America and clearly relevant in semiconductor and magnetic sensor IC design.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Cromemco,defunct,"Cromemco, Inc.",,no,no,no,no,,0.95,"Resolved to Cromemco, a historical microcomputer company that is defunct and not an active employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crompton Greaves Consumer Electricals,company,Crompton Greaves Consumer Electricals Limited,,yes,no,no,no,,0.83,"Resolved to Crompton Greaves Consumer Electricals, an active Indian consumer electricals company, but I lack concrete North America hiring presence and it is not a target chip/hardware design employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crompton Parkinson,defunct,Crompton Parkinson Limited,,no,no,no,no,,0.9,"Resolved to Crompton Parkinson, a historical electrical engineering company that no longer exists as a current standalone employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Cropking,company,CropKing Inc.,,yes,yes,no,no,,0.9,"Resolved to CropKing, an active North America greenhouse/hydroponics company, but it is not relevant to the target EE/VLSI categories.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crosley,company,Crosley Corporation,,yes,yes,no,no,,0.67,Resolved to Crosley as the active US appliance/consumer brand company; it has North America presence but is not clearly a semiconductor or electronics design employer.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crosley Motors,defunct,"Crosley Motors, Inc.",,no,no,no,no,,0.98,"Resolved to Crosley Motors, a historical automobile manufacturer that is defunct.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:44+00:00
Crosley Radio,company,Crosley Corporation,,yes,yes,no,no,,0.72,"Resolved 'Crosley Radio' to Crosley Corporation, an active US consumer electronics brand with NA presence but not a clear EE/VLSI semiconductor-design employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Cross,unclear,Cross,,no,no,no,no,,0.23,'Cross' is too ambiguous to resolve to a specific current company relevant for the database.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Cross Click Media,company,"Cross Click Media, Inc.",,yes,yes,no,no,,0.93,"Resolved to Cross Click Media, an active North American digital marketing/media company, not an EE/hardware employer.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Cross section,not_a_company,Cross section,,no,no,no,no,,0.99,"'Cross section' is a technical term, not a company.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Crossbar,company,"Crossbar, Inc.",,yes,yes,yes,yes,memory design (DRAM/SRAM/NAND/flash controller);semiconductor design,0.95,"Resolved to Crossbar, Inc., a US semiconductor-memory technology company with relevant chip-design work and NA presence.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Crossbeam Systems,merged_or_renamed,"Blue Coat Systems, LLC",,yes,yes,yes,yes,computer/server/datacenter/networking hardware,0.63,Resolved 'Crossbeam Systems' to Blue Coat Systems as successor owner of the network-appliance business; active in NA and relevant via networking hardware.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Crossbow Technology,company,"Crossbow Technology, Inc.",,yes,yes,yes,yes,embedded systems;analog or digital design,0.74,"Resolved to Crossbow Technology, an active US sensor/wireless embedded-systems company with relevant electronics work.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Crosscomm,unclear,Crosscomm,,no,no,no,no,,0.28,'Crosscomm' could refer to multiple entities and cannot be confidently resolved to a current relevant company.,v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Crossle Car,company,Crosslé Car Company Ltd.,,yes,no,yes,no,EV or automotive electronics,0.55,"Resolved to Crosslé Car Company, a niche race-car manufacturer; automotive-related but no clear known NA hiring presence.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
Crossroads Systems,company,"Crossroads Systems, Inc.",,yes,yes,yes,yes,computer/server/datacenter/networking hardware,0.78,"Resolved to Crossroads Systems, a US storage/networking hardware company with NA presence and relevant hardware domain.",v3-precision-step2,gpt-5.4,2026-07-02T17:09:56+00:00
